[642E6823]
;
B634,2.00,4742,-12279,-1489
BE96,2.00,7034,-11100,-1439
C1E7,2.00,7845,-10478,-1352
C299,2.00,8032,-10347,-1387
C35C,2.00,8205,-10190,-1345
C6F7,2.00,9030,-9442,-1316
C678,2.00,8934,-9567,-1503
C799,2.00,9180,-9313,-1479
C858,2.00,9337,-9145,-1463
C907,2.00,9479,-8984,-1447
C927,2.00,9510,-8956,-1442
CB56,2.00,9949,-8434,-1389
CC4B,2.00,10132,-8191,-1367
CA0B,2.00,9700,-8749,-1421
CA62,2.00,9766,-8668,-1412
CA65,2.00,9769,-8664,-1412
CB9C,2.00,10003,-8367,-1382
CD3B,2.00,10303,-7956,-1341
CEA4,2.00,10559,-7588,-1302
D110,2.00,10961,-6938,-1229
D09C,2.00,10889,-7057,-1244
D211,2.00,11108,-6661,-1197
D2F2,2.00,11237,-6413,-1166
D2FB,2.00,11243,-6400,-1163
D531,2.00,11544,-5762,-1083
D78B,2.00,11825,-5075,-994
D7D0,2.00,11850,-4992,-984
D8A8,2.00,11938,-4739,-951
DB4F,2.00,12183,-3931,-839
DD47,2.00,12325,-3307,-750
DE87,2.00,12403,-2915,-694
E0DB,2.00,12517,-2175,-586
E0DD,2.00,12517,-2173,-587
E7DF,2.00,12608,76,-237
E93A,2.00,12577,515,-158
EAEE,2.00,12513,1062,-61
EDF8,2.00,12354,2026,103
EE7C,2.00,12320,2185,137
F06A,2.00,12167,2799,249
F302,2.00,11932,3598,398
F4F2,2.00,11722,4179,506
F6A5,2.00,11517,4680,605
FA32,2.00,11025,5699,813
FA32,2.00,11026,5698,814
FCB4,2.00,10619,6393,964
01DD,2.00,9659,7718,1263
02C6,2.00,9474,7939,1316
07DD,2.00,8380,9085,1584
0971,2.00,7999,9415,1675
0E94,2.00,6739,10366,1917
1AD6,2.00,3379,11939,2406
1DAB,2.00,2561,12150,2498
2028,2.00,1839,12290,2578
24F7,2.00,431,12430,2697
2983,2.00,-899,12415,2799
2BED,2.00,-1609,12347,2837
2BE8,2.00,-1603,12348,2841
3045,2.00,-2855,12122,2899
32B7,2.00,-3548,11937,2919
386F,2.00,-5114,11354,2937
4195,2.00,-7426,9961,2880
4979,2.00,-9170,8371,2737
4D8C,2.00,-9946,7407,2630
5033,2.00,-10397,6746,2549
5616,2.00,-11270,5152,2333
591C,2.00,-11625,4286,2207
5B1C,2.00,-11824,3698,2115
606B,2.00,-12213,2077,1853
66C4,2.00,-12402,91,1512
69E7,2.00,-12381,-903,1327
6C76,2.00,-12306,-1717,1167
6EFA,2.00,-12185,-2513,1008
7793,2.00,-11399,-5134,473
7A28,2.00,-11061,-5890,310
7DA8,2.00,-10514,-6869,99
80C3,2.00,-9980,-7694,-92
80A6,2.00,-10002,-7663,-83
87D4,2.00,-8523,-9414,-503
8D9F,2.00,-7131,-10616,-836
9009,2.00,-6510,-11047,-951
928B,2.00,-5829,-11451,-1067
96D4,2.00,-4635,-12038,-1252
9BD0,2.00,-3176,-12563,-1432
9F69,2.00,-2108,-12823,-1534
A3B8,2.00,-800,-13011,-1628
A639,2.00,-35,-13051,-1676
A91B,2.00,835,-13039,-1721
AF38,2.00,2672,-12804,-1783
B22C,2.00,3556,-12590,-1795
B300,2.00,3792,-12517,-1804
B586,2.00,4516,-12274,-1801
B6CE,2.00,4878,-12136,-1796
B8CE,2.00,5427,-11888,-1789
B9E8,2.00,5728,-11739,-1781
BC0F,2.00,6312,-11430,-1760
BC82,2.00,6431,-11361,-1756
BDF2,2.00,6799,-11131,-1739
BECE,2.00,7023,-10983,-1729
BFCB,2.00,7270,-10812,-1716
C1DF,2.00,7778,-10418,-1683
C278,2.00,7922,-10303,-1672
C396,2.00,8189,-10082,-1653
C4F2,2.00,8506,-9807,-1624
C6A0,2.00,8877,-9449,-1588
C7EF,2.00,9156,-9156,-1556
CA02,2.00,9583,-8672,-1505
C9FF,2.00,9582,-8674,-1505
CB74,2.00,9861,-8323,-1463
CC02,2.00,9970,-8179,-1446
D01E,2.00,10693,-7127,-1312
D23E,2.00,11021,-6545,-1235
D249,2.00,11028,-6532,-1233
D240,2.00,11021,-6545,-1234
D413,2.00,11279,-6029,-1159
D43A,2.00,11301,-5981,-1153
D950,2.00,11891,-4491,-930
DABA,2.00,12021,-4062,-864
DE17,2.00,12273,-3022,-699
DE82,2.00,12296,-2891,-680
E08B,2.00,12403,-2244,-573
E21E,2.00,12461,-1744,-492
E527,2.00,12516,-778,-331
E804,2.00,12503,131,-167
EB3F,2.00,12413,1166,11
