FEI-1210020[64097130]
;
723F,2.00,8313,4429,964
7C36,2.00,6977,6260,1289
7ECF,2.00,6565,6682,1370
8166,2.00,6127,7071,1440
83BC,2.00,5696,7398,1500
845D,2.00,5584,7479,1514
8680,2.00,5175,7753,1562
87F7,2.00,4894,7934,1594
8A96,2.00,4373,8212,1643
8B88,2.00,4182,8314,1660
8CCB,2.00,3916,8433,1680
8D66,2.00,3789,8484,1690
8E66,2.00,3578,8570,1704
8F4C,2.00,3383,8645,1716
9083,2.00,3125,8733,1731
9120,2.00,2989,8777,1738
9202,2.00,2799,8846,1750
93CA,2.00,2412,8950,1766
9460,2.00,2284,8983,1772
950A,2.00,2137,9014,1776
968D,2.00,1797,9073,1786
974B,2.00,1631,9114,1793
97CF,2.00,1515,9130,1796
9838,2.00,1424,9143,1799
98F4,2.00,1257,9164,1801
9A37,2.00,968,9185,1803
9AF4,2.00,801,9192,1803
9BA8,2.00,640,9201,1804
9CCE,2.00,381,9216,1806
9D9C,2.00,199,9217,1805
9EE6,2.00,-82,9218,1803
9F50,2.00,-174,9222,1803
A03B,2.00,-381,9207,1799
A03B,2.00,-381,9207,1800
A244,2.00,-846,9162,1789
A280,2.00,-898,9158,1787
A2F3,2.00,-997,9148,1785
A38B,2.00,-1134,9135,1784
A4B1,2.00,-1396,9094,1775
A61B,2.00,-1714,9035,1764
A7B4,2.00,-2066,8953,1748
A93F,2.00,-2401,8860,1731
AAB6,2.00,-2717,8768,1712
ABEB,2.00,-2974,8679,1696
AC35,2.00,-3038,8663,1692
AF29,2.00,-3656,8402,1644
B17F,2.00,-4145,8178,1604
B364,2.00,-4520,7976,1567
B586,2.00,-4922,7713,1519
B68E,2.00,-5123,7590,1498
B7DA,2.00,-5362,7424,1466
B92A,2.00,-5589,7237,1432
BBCF,2.00,-6062,6866,1366
BCC6,2.00,-6222,6721,1338
BF01,2.00,-6585,6372,1272
C19B,2.00,-6972,5922,1192
C26F,2.00,-7093,5783,1165
C37D,2.00,-7237,5599,1131
C4B2,2.00,-7403,5380,1091
C650,2.00,-7610,5084,1038
C896,2.00,-7871,4645,957
CA0C,2.00,-8038,4362,905
CAFF,2.00,-8137,4173,871
CDBC,2.00,-8411,3615,769
CE4C,2.00,-8468,3497,748
CFA7,2.00,-8578,3205,698
D105,2.00,-8690,2915,644
D284,2.00,-8785,2599,585
D507,2.00,-8943,2059,489
DBB9,2.00,-9139,566,219
DE7D,2.00,-9155,-49,104
E00A,2.00,-9147,-397,37
E29D,2.00,-9094,-973,-63
E451,2.00,-9044,-1358,-132
E575,2.00,-9008,-1617,-178
E8FF,2.00,-8823,-2385,-317
EABD,2.00,-8710,-2758,-380
ECD6,2.00,-8554,-3199,-462
EDBD,2.00,-8479,-3386,-499
EEA9,2.00,-8399,-3582,-533
F022,2.00,-8260,-3885,-589
F259,2.00,-8018,-4332,-668
F39B,2.00,-7881,-4580,-714
F872,2.00,-7271,-5481,-873
F967,2.00,-7141,-5650,-905
F9E8,2.00,-7061,-5734,-922
FADD,2.00,-6925,-5906,-954
FC7D,2.00,-6677,-6181,-1027
FE32,2.00,-6407,-6450,-1067
0111,2.00,-5934,-6887,-1150
01F0,2.00,-5780,-7015,-1169
02B1,2.00,-5642,-7126,-1175
042E,2.00,-5380,-7332,-1213
0575,2.00,-5145,-7495,-1256
0685,2.00,-4946,-7632,-1296
08D9,2.00,-4499,-7905,-1351
0AFA,2.00,-4073,-8141,-1377
0C6E,2.00,-3769,-8279,-1406
0E8D,2.00,-3328,-8475,-1443
0EF6,2.00,-3241,-8511,-1464
10C5,2.00,-2859,-8656,-1479
1182,2.00,-2702,-8711,-1490
12C0,2.00,-2432,-8792,-1511
1440,2.00,-2104,-8875,-1524
1610,2.00,-1699,-8981,-1552
1666,2.00,-1621,-8988,-1550
17CB,2.00,-1313,-9054,-1553
1A28,2.00,-771,-9097,-1553
1E99,2.00,229,-9184,-1574
2315,2.00,1252,-9124,-1545
2423,2.00,1490,-9098,-1533
2757,2.00,2207,-8953,-1491
2AA9,2.00,2933,-8763,-1458
2F46,2.00,3922,-8389,-1378
357F,2.00,5171,-7734,-1241
38E5,2.00,5807,-7287,-1153
3E1E,2.00,6702,-6520,-990
4332,2.00,7443,-5629,-815
48E4,2.00,8189,-4583,-596
4B72,2.00,8471,-4070,-559
4E14,2.00,8730,-3524,-462
5049,2.00,8911,-3054,-391
54C5,2.00,9200,-2082,-217
58EE,2.00,9367,-1152,-45
5C83,2.00,9430,-339,102
6384,2.00,9354,1253,385
64F7,2.00,9298,1575,443
67F5,2.00,9156,2239,564
6B18,2.00,8949,2918,687
6E52,2.00,8693,3617,812
7467,2.00,8038,4837,1038
784B,2.00,7540,5570,1172
7B3F,2.00,7111,6092,1263
82AF,2.00,5876,7247,1477
8768,2.00,4989,7851,1580
8BA8,2.00,4145,8318,1660
8FEB,2.00,3249,8694,1727
958C,2.00,2016,9029,1779
9E1B,2.00,86,9214,1803
A163,2.00,-647,9185,1791
A675,2.00,-1788,9019,1758
AE70,2.00,-3512,8475,1658
B466,2.00,-4714,7849,1547
BC1F,2.00,-6110,6811,1357
C262,2.00,-7087,5790,1165
C83F,2.00,-7845,4713,968
CFA2,2.00,-8581,3208,699
D6EC,2.00,-9012,1645,416
E04C,2.00,-9137,-451,31
E58D,2.00,-8997,-1628,-177
EB49,2.00,-8673,-2865,-402
EF6C,2.00,-8332,-3731,-555
F35C,2.00,-7912,-4525,-697
F8DC,2.00,-7208,-5545,-877
0309,2.00,-5576,-7164,-1163
0896,2.00,-4546,-7869,-1289
0F5E,2.00,-3158,-8544,-1407
14D6,2.00,-1977,-8930,-1476
1A19,2.00,-790,-9102,-1503
25E1,2.00,1875,-9025,-1482
2699,2.00,2037,-8995,-1475
300B,2.00,4073,-8328,-1353
3901,2.00,5825,-7280,-1161
3D1A,2.00,6533,-6678,-1050
44B3,2.00,7672,-5375,-812
4C96,2.00,8600,-3842,-529
50BC,2.00,8945,-2957,-369
52B9,2.00,9080,-2528,-292
5CA5,2.00,9428,-308,112
61CA,2.00,9406,861,318
643F,2.00,9318,1417,420
65D6,2.00,9262,1772,487
6835,2.00,9140,2295,579
6C1A,2.00,8880,3139,736
6F8D,2.00,8578,3874,867
70C6,2.00,8457,4119,919
741D,2.00,8072,4781,1035
782D,2.00,7549,5537,1172
7B1E,2.00,7125,6066,1272
7D61,2.00,6781,6447,1334
7EB9,2.00,6563,6658,1376
7F6B,2.00,6445,6760,1413
81E6,1.95,6157,7280,1474
84BF,1.95,5622,7685,1545
87FC,1.95,4991,8100,1619
8CBC,1.95,4017,8613,1708
91A1,1.95,2947,9018,1779
97CA,1.95,1553,9330,1833
9ADD,1.95,837,9399,1845
A07A,1.95,-452,9411,1841
A25A,1.95,-887,9371,1830
A73F,1.95,-2021,9183,1800
AEBC,1.95,-3656,8634,1696
B464,1.95,-4819,8027,1588
B786,1.95,-5426,7632,1519
BD2E,1.95,-6439,6800,1362
C2E1,1.95,-7325,5835,1181
C747,1.95,-7900,5005,1013
CB74,1.95,-8394,4179,873
D0E2,1.95,-8868,3010,644
D50C,1.95,-9132,2097,467
DBD3,1.95,-9344,554,209
E0DF,1.95,-9339,-599,0
E999,1.95,-8977,-2565,-364
F11A,1.95,-8336,-4166,-645
F573,1.95,-7829,-5036,-797
FF43,1.95,-6377,-6764,-1109
0600,1.95,-5173,-7759,-1271
0DBF,1.95,-3594,-8618,-1436
11D8,1.95,-2695,-8940,-1499
15EA,1.95,-1781,-9179,-1542
1AD3,1.95,-640,-9339,-1571
1D3B,1.95,-80,-9393,-1561
2561,1.95,1805,-9261,-1533
3507,1.95,5191,-7971,-1289
4492,1.95,7848,-5536,-834
4C40,1.95,8767,-4006,-543
55CC,1.95,9468,-1900,-172
5B5A,1.95,9642,-617,65
64E4,1.95,9503,1596,469
78ED,1.95,7628,5820,1248
7F46,1.90,6754,7055,1456
86CF,1.90,5339,8143,1642
943B,1.90,2417,9383,1851
A76A,1.90,-2107,9384,1835
B147,1.90,-4300,8585,1689
BCBA,1.90,-6513,7036,1404
C660,1.90,-7976,5303,1079
D034,1.90,-9031,3235,700
DA54,1.90,-9547,923,279
EC20,1.90,-9002,-3191,-469
F24A,1.90,-8419,-4523,-698
F706,1.90,-7811,-5463,-864
FC9D,1.90,-6975,-6492,-1054
0382,1.90,-5755,-7575,-1244
0BFF,1.90,-4049,-8621,-1428
1184,1.90,-2837,-9122,-1513
2410,1.90,1532,-9530,-1571
3781,1.90,5796,-7830,-1252
4649,1.90,8225,-5313,-787
56DF,1.90,9716,-1691,-121
5C42,1.90,9862,-416,105
6DD7,1.90,9131,3678,847
78D0,1.90,7803,5919,1255
7ABB,1.90,7518,6277,1320
8002,1.85,6777,7336,1517
867C,1.85,5530,8294,1682
8D9A,1.85,3994,9094,1821
93F5,1.85,2529,9584,1900
9DB7,1.85,177,9874,1942
AC36,1.85,-3269,9272,1818
BCE4,1.85,-6697,7172,1430
C6E8,1.85,-8253,5325,1082
D112,1.85,-9315,3112,676
